language,file,load_time,time_min,time_max,time_avg
LuaJIT 2.0.5,mob.lua,0,0.002844,0.003157,0.002977666666667
Lua 5.3.4,mob.lua,0,0.004243,0.006667,0.005244666666667
Perl 5.26.1,mob.pl,0,0.008744,0.010305,0.009373
PHP 7.1.9,mob.php,0,0.014253,0.016052,0.014901333333333
mRuby 1.3.0,mob.mrb,0,0.014583,0.015739,0.015227666666667
Tcl 8.6.7,mob.tcl,0,0.018442,0.02047,0.019173666666667
Python 2.7.14,mob.py,0,0.019901,0.020522,0.020245333333333
OCaml 4.05.0,mob.ml,0,0.022416,0.023097,0.022790666666667
Python 3.6.2,mob.py,0,0.029397,0.030969,0.030017
Ruby 2.4.2,mob.rb,0,0.043909,0.047325,0.045440333333333
PyPy 5.8.0,mob.py,0,0.138977,0.140227,0.139471
Rakudo 2017.09,mob.pl6,0,0.190855,0.197136,0.193055
Crystal 0.23.1,mob.cr,0,0.562839,0.582261,0.571567333333333
Julia 0.6.0,mob.jl,0,0.574199,0.575367,0.57491
Clojure 1.8.0,mob.clj,0,0.835705,0.893875,0.870777666666667
Scala 2.12.3,mob.sc,0,1.140119,1.173235,1.157877
